Pmi 5 1,Pmi 5 2,Pmi 5 3,Pmi 5 4,Pmi 5 5,Pmi 5 6,Pmi 5 7,Pmi 5 8,Pmi 5 9
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
,,,,,,,,
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,HWS - Student Health Services,No,HWS - The Well,HWS - SWIFT
,,,,,,,,
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,No,HWS - The Well,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,HWS - SWIFT
No,No,No,HWS - Case Management,No,No,No,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,No,HWS - SWIFT
,,,,,,,,
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
,,,,,,,,
No,No,No,HWS - Case Management,No,HWS - Student Health Services,No,No,No
No,No,,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,No
,,,,,,,,
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,No,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,HWS - The Well,No
,,,,,,,,
,,,,,,,,
No,No,No,No,No,No,No,HWS - The Well,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
,,,,,,,,
,,,,,,,,
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,No,No,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,No,HWS - The Well,HWS - SWIFT
No,No,No,No,No,HWS - Student Health Services,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,No
,,,,,,,,
No,No,No,No,No,No,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,HWS - Student Health Services,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,No,HWS - The Well,No
No,No,No,No,Student Disability Resource Center,No,HWS - UCR Police and Campus Safety Dept.,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,No,No,HWS - The Well,No
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,No,HWS - Case Management,No,No,No,HWS - The Well,No
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,Student Disability Resource Center,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
,,,,,,,,
,,,,,,,,
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,No,HWS - The Well,HWS - SWIFT
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
No,No,No,No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
No,No,No,HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,No,HWS - The Well,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,No,HWS - Case Management,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
,,,,,,,,
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",No,HWS - Case Management,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
HWS - Basic Needs,No,No,HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,HWS - The Well,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,HWS - Case Management,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
,,,,,,,,
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
,,,,,,,,
,,,,,,,,
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,HWS - The Well,No
,,,,,,,,
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,No,HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,No,No,No,Student Disability Resource Center,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
No,No,No,No,No,No,No,No,No
No,No,No,HWS - Case Management,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
,,,,,,,,
,,,,,,,,
No,No,No,No,No,No,No,HWS - The Well,No
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,No,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),No,Student Disability Resource Center,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,Student Disability Resource Center,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
No,No,No,No,No,No,No,No,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,No,HWS - The Well,HWS - SWIFT
